S.No.,Symbol,Quantity,Active,LTP,Margin
20,IOC,15,No,91.9,1378.5
26,NTPC,15,No,102.9,1543.5
1,ADANIPORTS,3,Yes,822.2,2466.6
3,AXISBANK,3,Yes,668.05,2004.15
4,BHARTIARTL,3,Yes,544.35,1633.05
5,BPCL,3,Yes,425.95,1277.85
6,CIPLA,3,Yes,886.95,2660.85
7,COALINDIA,3,Yes,129.6,388.8
9,GRASIM,3,Yes,1437.7,4313.1
10,HCLTECH,3,Yes,1043.05,3129.15
12,HDFCBANK,3,Yes,1423.5,4270.5
13,HDFCLIFE,3,Yes,696.2,2088.6
15,HINDALCO,3,Yes,359.4,1078.2
17,ICICIBANK,3,Yes,565.95,1697.85
18,INDUSINDBK,3,Yes,924.95,2774.85
19,INFY,3,Yes,1441,4323
21,ITC,3,Yes,213.25,639.75
22,JSWSTEEL,3,Yes,621.5,1864.5
23,KOTAKBANK,3,Yes,1794.8,5384.4
24,LT,3,Yes,1405.25,4215.75
25,M&M,3,Yes,790.7,2372.1
27,ONGC,3,Yes,104,312
28,POWERGRID,3,Yes,209,627
29,RELIANCE,3,Yes,1983.45,5950.35
30,SBILIFE,3,Yes,910.8,2732.4
31,SBIN,3,Yes,352.95,1058.85
32,SUNPHARMA,3,Yes,636,1908
33,TATACONSUM,3,Yes,684.5,2053.5
34,TATAMOTORS,3,Yes,317.55,952.65
35,TATASTEEL,3,Yes,898.55,2695.65
37,TECHM,3,Yes,1051,3153
38,TITAN,3,Yes,1594.6,4783.8
39,UPL,3,Yes,635.95,1907.85
40,WIPRO,3,Yes,450.9,1352.7
16,HINDUNILVR,15,No,2471.35,37070.25
11,HDFC,15,No,2515.7,37735.5
8,EICHERMOT,15,No,2523.7,37855.5
2,ASIANPAINT,15,No,2635,39525
14,HEROMOTOCO,15,No,2918.25,43773.75
36,TCS,15,No,3325,49875
